cod;nome;período;valor
42;SC;2019;242
41;PR;2019;759
35;SP;2019;983
33;RJ;2019;1626
32;ES;2019;509
31;MG;2019;1129
11;RO;2019;105
12;AC;2019;125
13;AM;2019;635
14;RR;2020;56
15;PA;2020;1129
16;AP;2020;202
17;TO;2020;172
21;MA;2020;800
22;PI;2020;261
23;CE;2020;2134
24;RN;2020;728
25;PB;2020;457
26;PE;2020;1805
27;AL;2020;608
28;SE;2020;515
29;BA;2020;3810
52;GO;2020;1022
31;MG;2020;1000
32;ES;2020;586
33;RJ;2020;1994
35;SP;2020;938
41;PR;2020;875
42;SC;2020;229
43;RS;2020;811
50;MS;2020;99
51;MT;2020;337
13;AM;2020;493
12;AC;2020;135
53;DF;2020;151
11;RO;2020;96
17;TO;2021;144
28;SE;2021;396
29;BA;2021;3885
11;RO;2021;158
12;AC;2021;71
13;AM;2021;818
14;RR;2021;61
15;PA;2021;1173
16;AP;2021;270
21;MA;2021;746
22;PI;2021;317
23;CE;2021;1782
24;RN;2021;546
25;PB;2021;495
26;PE;2021;1547
27;AL;2021;516
53;DF;2021;132
52;GO;2021;739
51;MT;2021;285
50;MS;2021;142
43;RS;2021;680
42;SC;2021;214
41;PR;2021;926
35;SP;2021;834
33;RJ;2021;2248
32;ES;2021;502
31;MG;2021;883
13;AM;2022;714
27;AL;2022;552
16;AP;2022;205
12;AC;2022;77
17;TO;2022;150
28;SE;2022;404
35;SP;2022;1030
42;SC;2022;173
14;RR;2022;54
11;RO;2022;171
43;RS;2022;729
24;RN;2022;540
33;RJ;2022;1665
22;PI;2022;331
26;PE;2022;1518
41;PR;2022;979
25;PB;2022;464
15;PA;2022;1208
31;MG;2022;1027
50;MS;2022;125
51;MT;2022;382
21;MA;2022;707
52;GO;2022;630
32;ES;2022;515
53;DF;2022;124
23;CE;2022;1572
29;BA;2022;3632
