cod;nome;período;valor
13;AM;2005;23
14;RR;2005;2
15;PA;2005;57
16;AP;2005;6
17;TO;2005;8
21;MA;2005;30
22;PI;2005;14
23;CE;2005;59
24;RN;2005;21
25;PB;2005;25
26;PE;2005;134
27;AL;2005;36
28;SE;2005;11
29;BA;2005;90
31;MG;2005;160
32;ES;2005;65
33;RJ;2005;201
35;SP;2005;340
41;PR;2005;100
42;SC;2005;27
17;TO;2006;8
29;BA;2006;123
28;SE;2006;18
27;AL;2006;55
26;PE;2006;137
25;PB;2006;24
24;RN;2006;15
23;CE;2006;51
22;PI;2006;19
21;MA;2006;30
16;AP;2006;3
15;PA;2006;55
14;RR;2006;5
13;AM;2006;26
12;AC;2006;4
11;RO;2006;23
43;RS;2006;56
50;MS;2006;20
51;MT;2006;33
52;GO;2006;59
32;ES;2006;78
31;MG;2006;186
35;SP;2006;346
41;PR;2006;118
53;DF;2006;25
42;SC;2006;31
33;RJ;2006;196
43;RS;2007;81
52;GO;2007;60
53;DF;2007;22
50;MS;2007;28
11;RO;2007;10
12;AC;2007;8
13;AM;2007;28
14;RR;2007;3
15;PA;2007;66
16;AP;2007;7
17;TO;2007;11
21;MA;2007;31
51;MT;2007;34
22;PI;2007;12
23;CE;2007;50
24;RN;2007;20
25;PB;2007;29
26;PE;2007;139
27;AL;2007;56
28;SE;2007;12
29;BA;2007;124
31;MG;2007;176
32;ES;2007;79
33;RJ;2007;167
35;SP;2007;267
41;PR;2007;110
42;SC;2007;34
25;PB;2008;30
52;GO;2008;57
53;DF;2008;35
12;AC;2008;5
11;RO;2008;15
13;AM;2008;26
14;RR;2008;3
15;PA;2008;82
16;AP;2008;4
17;TO;2008;11
21;MA;2008;37
22;PI;2008;16
23;CE;2008;42
24;RN;2008;29
26;PE;2008;135
27;AL;2008;41
28;SE;2008;15
29;BA;2008;161
31;MG;2008;190
32;ES;2008;89
33;RJ;2008;158
35;SP;2008;242
41;PR;2008;137
42;SC;2008;32
43;RS;2008;83
50;MS;2008;27
51;MT;2008;38
15;PA;2009;82
12;AC;2009;6
14;RR;2009;9
23;CE;2009;64
24;RN;2009;21
25;PB;2009;50
31;MG;2009;168
53;DF;2009;36
52;GO;2009;62
51;MT;2009;44
50;MS;2009;26
43;RS;2009;101
42;SC;2009;38
41;PR;2009;158
35;SP;2009;248
33;RJ;2009;137
32;ES;2009;107
29;BA;2009;151
28;SE;2009;13
27;AL;2009;55
26;PE;2009;145
11;RO;2009;23
13;AM;2009;21
22;PI;2009;12
21;MA;2009;38
17;TO;2009;15
16;AP;2009;4
17;TO;2010;18
15;PA;2010;115
14;RR;2010;7
13;AM;2010;32
12;AC;2010;7
11;RO;2010;10
31;MG;2010;184
32;ES;2010;79
33;RJ;2010;132
35;SP;2010;281
